id,slide_name,label_name,x,y,w,h,t_create,creator,t_edit,editor
12296,285359,rated_roi_01_rare,43900.6875142,29515.9198979,2047.0,2047.0,1568735183.48,pyushkevich,1570039477.23,dirwin
12298,285359,candidate_roi,43981.7924554,7207.74062171,2047.0,2047.0,1568735183.53,pyushkevich,1568735183.53,pyushkevich
12299,285359,candidate_roi,17060.6436223,22710.4281067,2047.0,2047.0,1568735183.53,pyushkevich,1568735183.53,pyushkevich
12300,285359,candidate_roi,3927.64690194,7876.17011703,2047.0,2047.0,1568735183.54,pyushkevich,1568735183.54,pyushkevich
12301,285359,candidate_roi,34809.8546445,28458.7778312,2047.0,2047.0,1568735183.55,pyushkevich,1568735183.55,pyushkevich
12302,285359,candidate_roi,12704.4125804,15118.8273207,2047.0,2047.0,1568735183.56,pyushkevich,1568735183.56,pyushkevich
12303,285359,candidate_roi,18055.4394157,35929.0996654,2047.0,2047.0,1568735183.57,pyushkevich,1568735183.57,pyushkevich
12304,285359,candidate_roi,17773.390515,27812.2758765,2047.0,2047.0,1568735183.58,pyushkevich,1568735183.58,pyushkevich
12305,285359,candidate_roi,53552.5688537,13572.8266374,2047.0,2047.0,1568735183.58,pyushkevich,1568735183.58,pyushkevich
12306,285359,candidate_roi,49759.5541684,20205.7779633,2047.0,2047.0,1568735183.59,pyushkevich,1568735183.59,pyushkevich
12307,285359,candidate_roi,5694.33826847,6469.98392332,2047.0,2047.0,1568735183.6,pyushkevich,1568735183.6,pyushkevich
12308,285359,rated_roi_01_rare,10023.9728691,13866.9519152,2047.0,2047.0,1568735183.61,pyushkevich,1570039421.11,dirwin
12309,285359,candidate_roi,17181.0593711,36623.4520975,2047.0,2047.0,1568735183.62,pyushkevich,1568735183.62,pyushkevich
12310,285359,candidate_roi,21757.9783715,37484.8703089,2047.0,2047.0,1568735183.63,pyushkevich,1568735183.63,pyushkevich
12311,285359,candidate_roi,29176.2895627,23665.3478178,2047.0,2047.0,1568735183.64,pyushkevich,1568735183.64,pyushkevich
12312,285359,candidate_roi,56904.1088813,9266.62283008,2047.0,2047.0,1568735183.64,pyushkevich,1568735183.64,pyushkevich
12313,285359,candidate_roi,17675.6400386,27120.8793689,2047.0,2047.0,1568735183.65,pyushkevich,1568735183.65,pyushkevich
12314,285359,candidate_roi,14455.2641979,35455.6204698,2047.0,2047.0,1568735183.66,pyushkevich,1568735183.66,pyushkevich
12315,285359,candidate_roi,38193.7131519,30679.1007469,2047.0,2047.0,1568735183.67,pyushkevich,1568735183.67,pyushkevich
12316,285359,rated_roi_01_rare,31285.0360238,23898.4553145,2047.0,2047.0,1568735183.68,pyushkevich,1570039453.6,dirwin
12317,285359,candidate_roi,16061.3601696,19890.6596933,2047.0,2047.0,1568735183.69,pyushkevich,1568735183.69,pyushkevich
12318,285359,candidate_roi,26341.3601148,36175.8283004,2047.0,2047.0,1568735183.7,pyushkevich,1568735183.7,pyushkevich
12319,285359,candidate_roi,37437.0949492,28919.4846149,2047.0,2047.0,1568735183.71,pyushkevich,1568735183.71,pyushkevich
